STATE,CANDIDATE,OFFICE,DISTRICT,TOTAL AMOUNT
NEW YORK,LINDA B. ROSENTHAL,STATE ASSEMBLY,67,36144.25
NEW YORK,JAIME R. WILLIAMS,STATE ASSEMBLY,59,27436.91
NEW YORK,ERIK MARTIN DILAN,STATE ASSEMBLY,54,84385.26999999999
NEW YORK,JO ANNE SIMON,STATE ASSEMBLY,52,16832.62
NEW YORK,CARL E. HEASTIE,STATE ASSEMBLY,83,444645.55000000005
NEW YORK,MICHAEL REILLY,STATE ASSEMBLY,62,29097.46
NEW YORK,DEMOND MEEKS,STATE ASSEMBLY,137,41967.920000000006
NEW YORK,KATHLEEN COURTNEY HOCHUL,LIEUTENANT GOVERNOR,,2216474.6999999997
NEW YORK,ELIJAH REICHLIN-MELNICK,STATE SENATE,38,518277.78
NEW YORK,ANNA R. KELLES,STATE ASSEMBLY,125,58274.08
NEW YORK,JAMES F. GAUGHRAN,STATE SENATE,5,1124641.38
NEW YORK,MATHYLDE FRONTUS,STATE ASSEMBLY,46,31196.390000000003
NEW YORK,CATHERINE T. NOLAN,STATE ASSEMBLY,37,267761.61
NEW YORK,NADER J. SAYEGH,STATE ASSEMBLY,90,101555.66999999998
NEW YORK,MARCELA MITAYNES,STATE ASSEMBLY,51,105188.18
NEW YORK,KARINES REYES,STATE ASSEMBLY,87,97517.51999999999
NEW YORK,EDWARD C. BRAUNSTEIN,STATE ASSEMBLY,26,75500.6
NEW YORK,ROBERT JACKSON,STATE SENATE,31,134068.41
NEW YORK,PETER B. HARCKHAM,STATE SENATE,40,0.0
NEW YORK,LIZ KRUEGER,STATE SENATE,28,52391.34
NEW YORK,RACHEL MAY,STATE SENATE,53,222252.1
NEW YORK,WILLIAM B. MAGNARELLI,STATE ASSEMBLY,129,163591.74
NEW YORK,LUIS R. SEPULVEDA,STATE SENATE,32,11412.909999999998
NEW YORK,JESSICA RAMOS,STATE SENATE,13,0.0
NEW YORK,WILLIAM A. BARCLAY,STATE ASSEMBLY,120,66286.84
NEW YORK,CRYSTAL DAVIS PEOPLES-STOKES,STATE ASSEMBLY,141,205369.64999999997
NEW YORK,JAMES GARY PRETLOW,STATE ASSEMBLY,89,29795.88
NEW YORK,VIVIAN E. COOK,STATE ASSEMBLY,32,280.0
NEW YORK,ALFRED TAYLOR,STATE ASSEMBLY,71,38182.689999999995
NEW YORK,ANTHONY H. PALUMBO,STATE SENATE,1,227853.23999999996
