NAME,CATEGORY
RGA RIGHT DIRECTION PAC,POLITICAL FUNDS & GROUPS
RISING TIDE,MEDIA & ADS
ROBOCENT,CANVASSING & FIELD WORK
ROCKY MOUNTAIN VOTER OUTREACH,CANVASSING & FIELD WORK
RUN THE WORLD,EVENT EXPENSES
SADLER STRATEGIC MEDIA,MEDIA & ADS
SAFEWAY,GENERAL OPERATIONS & SUPPLIES
SAGE MEDIA (MUNDY KATOWITZ MEDIA),MEDIA & ADS
SAGE PAYMENT SOLUTIONS (PAYA),CREDIT CARD PROCESSING FEES
SAGUARO STRATEGIES,MEDIA & ADS
SAM'S CLUB,GENERAL OPERATIONS & SUPPLIES
SANDER INNOCENZI,MEDIA & ADS
SANDLOT STRATEGIC,CAMPAIGN CONSULTING
SCOTT HOWELL & COMPANY,MEDIA & ADS
SCREEN STRATEGIES MEDIA,MEDIA & ADS
SERMO DIGITAL,DIGITAL & SOCIAL MEDIA CONSULTING
SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) PAC,POLITICAL FUNDS & GROUPS
SGS INC,ACCOUNTING & FINANCIAL MANAGEMENT
SHEETZ,GENERAL OPERATIONS & SUPPLIES
SHELL,FUEL & GAS
SHORR JOHNSON MAGNUS,MEDIA & ADS
SHUTTERFLY,PRINTING
SIGNS ON THE CHEAP,CAMPAIGN SIGNS & PARAPHERNALIA
SKDKNICKERBOCKER (SKDK),CAMPAIGN CONSULTING
SMART MEDIA GROUP,MEDIA & ADS
SMP,CONTRIBUTION & DONATION
SNYDER PICKERILL MEDIA GROUP,MEDIA & ADS
SOMETHING ELSE STRATEGIES,CAMPAIGN CONSULTING
SOUTHLAND ADVANTAGE,FUNDRAISING & FUNDRAISING CONSULTING
SOUTHWEST AIRLINES,TRAVEL & LODGING
SPECTRUM MARKETING,"PR, COMMUNICATIONS, & MARKETING"
SQUARE,CREDIT CARD PROCESSING FEES
SRCP MEDIA,MEDIA & ADS
STAPLES,OFFICE EXPENSES
STARBUCKS,MEALS & CATERING
STOREFRONT POLITICAL MEDIA,MEDIA & ADS
STRATEGIC ALCHEMY,CAMPAIGN CONSULTING
STRATEGIC IMAGE MANAGEMENT (SIMWINS),CAMPAIGN CONSULTING
STRATEGIC IMPACT,CAMPAIGN CONSULTING
STRATEGIC MEDIA PLACEMENT,MEDIA & ADS
STRATEGIC MEDIA SERVICES,MEDIA & ADS
STRATEGIC PERCEPTION,CAMPAIGN CONSULTING
STRATEGY INC,POLLING & RESEARCH
STRATOSPHERE MEDIA,MEDIA & ADS
STREET SMARTZ CONSULTING,DIRECT MAIL
STRIPE,CREDIT CARD PROCESSING FEES
STROTHER NUCKELS STRATEGIES,CAMPAIGN CONSULTING
SUBWAY,MEALS & CATERING
SUNTRUST BANK,CREDIT CARD PAYMENT & BANK FEES
SUPERIOR BLUE STRATEGIES,CAMPAIGN CONSULTING
SUREPAYROLL,SALARY & PAYROLL
SWINDOLL JANZEN HAWK & LOYD,ACCOUNTING & FINANCIAL MANAGEMENT
TALBOT DIGITAL,DIGITAL & SOCIAL MEDIA CONSULTING
TALIENT ACTION GROUP,DIRECT MAIL
TARGET ENTERPRISES,MEDIA & ADS
TARGETED PLATFORM MEDIA,MEDIA & ADS
TARGETED STRATEGY,"PR, COMMUNICATIONS, & MARKETING"
TAXI,TRAVEL & LODGING
TD BANK,CREDIT CARD PAYMENT & BANK FEES
TESORO,FUEL & GAS
TEXACO,FUEL & GAS
THE AGENCY,MEDIA & ADS
THE BATTIN GROUP,CAMPAIGN CONSULTING
THE BEYTIN AGENCY,MEDIA & ADS
THE CAMPAIGN GROUP,MEDIA & ADS
