STATE,NAME,CATEGORY
OREGON,OREGON REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
OREGON,OREGON SENATE DEMOCRATIC LEADERSHIP FUND,POLITICAL FUNDS & GROUPS
TENNESSEE,TENNESSEE STATE MUSEUM FOUNDATION,GENERAL OPERATIONS & SUPPLIES
TENNESSEE,RAYMOND JAMES CHARITABLE,CONTRIBUTION & DONATION
TENNESSEE,MARGIN OF VICTORY PARTNERS,CAMPAIGN CONSULTING
TENNESSEE,FLETCHER ROWLEY,"PR, COMMUNICATIONS, & MARKETING"
TENNESSEE,TENNESSEE REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
TENNESSEE,S&S STRATEGIES,CAMPAIGN CONSULTING
TENNESSEE,CENTURY STAFFING,GENERAL OPERATIONS & SUPPLIES
TEXAS,CITY OF AUSTIN,UTILITIES
TEXAS,REPUBLICAN PARTY OF TEXAS,POLITICAL FUNDS & GROUPS
TEXAS,TEXAS DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
TEXAS,FORWARD MAJORITY ACTION TEXAS,POLITICAL FUNDS & GROUPS
TEXAS,DAVIS LENZ MEDIA,MEDIA & ADS
TEXAS,DUDLEY GROUP,"PR, COMMUNICATIONS, & MARKETING"
TEXAS,ROUND ROCK BAKERY,MEALS & CATERING
UTAH,UTAH ASSOCIATION OF REALTORS,POLITICAL FUNDS & GROUPS
UTAH,UTAH DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
UTAH,OVIL EVENTS,EVENT EXPENSES
UTAH,UTAH REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
UTAH,ZIONS BANK,CREDIT CARD PAYMENT & BANK FEES
UTAH,FRIENDS OF DAN MCCAY,POLITICAL FUNDS & GROUPS
VERMONT,FIRST STEP PRINT SHOP,PRINTING
VERMONT,CAPITAL CONNECTIONS,"PR, COMMUNICATIONS, & MARKETING"
VERMONT,VERMONT DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
VERMONT,FRONT PORCH FORUM,SOFTWARE & TECHNOLOGY
VIRGINIA,DEMOCRATIC PARTY OF VIRGINIA,POLITICAL FUNDS & GROUPS
VIRGINIA,REPUBLICAN PARTY OF VIRGINIA,POLITICAL FUNDS & GROUPS
VIRGINIA,VIRGINIA HOUSE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
VIRGINIA,VIRGINIA SENATE DEMOCRATIC CAUCUS,POLITICAL FUNDS & GROUPS
VIRGINIA,VIRGINIA SENATE REPUBLICAN CAUCUS,POLITICAL FUNDS & GROUPS
VIRGINIA,CAVALIER COMMUNICATIONS,"PR, COMMUNICATIONS, & MARKETING"
VIRGINIA,WCAV-TV,MEDIA & ADS
VIRGINIA,ED GILLESPIE FOR GOVERNOR,POLITICAL FUNDS & GROUPS
VIRGINIA,NORTHAM FOR GOVERNOR,POLITICAL FUNDS & GROUPS
VIRGINIA,TERRY FOR VIRGINIA,POLITICAL FUNDS & GROUPS
VIRGINIA,"CHARLESTON, WV",UTILITIES
WASHINGTON,WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE (WSDCC),POLITICAL FUNDS & GROUPS
WASHINGTON,MINNICK GROUP,CAMPAIGN CONSULTING
WASHINGTON,WASHINGTON STATE DEMOCRATIC PARTY,POLITICAL FUNDS & GROUPS
WASHINGTON,WASHINGTON STATE REPUBLICAN PARTY,POLITICAL FUNDS & GROUPS
WASHINGTON,CAPITOL CITY PRESS,PRINTING
WASHINGTON,NORTHWEST PASSAGE CONSULTING (NWP),CAMPAIGN CONSULTING
WASHINGTON,PRINT NW,PRINTING
WASHINGTON,AAP HOLDING COMPANY,GENERAL OPERATIONS & SUPPLIES
WASHINGTON,PROGRESSIVE STRATEGIES NW,CAMPAIGN CONSULTING
WASHINGTON,WA FORWARD,POLITICAL FUNDS & GROUPS
WASHINGTON,ROBERT FERGUSON SURPLUS FUNDS,POLITICAL FUNDS & GROUPS
WEST VIRGINIA,WEST VIRGINIANS FOR LIFE,POLITICAL FUNDS & GROUPS
WISCONSIN,JILL FOR JUSTICE,POLITICAL FUNDS & GROUPS
WISCONSIN,PRINT N PRESS,PRINTING
WISCONSIN,PFAFF FOR STATE SENATE,POLITICAL FUNDS & GROUPS
WISCONSIN,TONY FOR WISCONSIN,POLITICAL FUNDS & GROUPS
WYOMING,CODY ENTERPRISE,MEDIA & ADS
WYOMING,WYOMING PRESS ASSOCIATION,MEDIA & ADS
WYOMING,INNOVATIVE COMMUNICATIONS STRATEGIES,"PR, COMMUNICATIONS, & MARKETING"
